Year	MonthOfYear	DayOfMonth	HourOfDayUTC	DayOfYear	DayOfCentury	AirPressurehPa	AirTemperatureC	AirTemperatureHygroClipC	RelativeHumidity_wrtWater	RelativeHumidity	WindSpeedms	WindDirectiond	ShortwaveRadiationDownWm2	ShortwaveRadiationDown_CorWm2	ShortwaveRadiationUpWm2	ShortwaveRadiationUp_CorWm2	Albedo_theta70d	LongwaveRadiationDownWm2	LongwaveRadiationUpWm2	CloudCover	SurfaceTemperatureC	HeightSensorBoomm	HeightStakesm	DepthPressureTransducerm	DepthPressureTransducer_Corm	IceTemperature1C	IceTemperature2C	IceTemperature3C	IceTemperature4C	IceTemperature5C	IceTemperature6C	IceTemperature7C	IceTemperature8C	TiltToEastd	TiltToNorthd	TimeGPShhmmssUTC	LatitudeGPSddmm	LongitudeGPSddmm	ElevationGPSm	HorDilOfPrecGPS	LoggerTemperatureC	FanCurrentmA	BatteryVoltageV	time	HeightSensorBoomm_raw	SurfaceHeightm	DepthThermistor1m	DepthThermistor2m	DepthThermistor3m	DepthThermistor4m	DepthThermistor5m	DepthThermistor6m	DepthThermistor7m	DepthThermistor8m
2009	4	5	12	95	3383	799.06	-25.07	-26.23	66.7	85.2	6.07	121.5	329.8	430.39	363.3	363.3	-999	147.6	210.3	0.21	-26.36	0	-0.008	-999	-999	-28.28	-28.7	-22.85	-17.72	-14.8	-12.56	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-24.19	172.9	16.82	7.34E+05	2.638	0.008	0	0	0.418	1.418	2.418	3.418	4.418	7.418
2009	4	5	13	95	3383	799.13	-23.15	-24.17	61.7	77.3	5.52	120.9	510.5	497.1	430.1	428.8	0.865	142.4	217.7	0.05	-24.24	-0.001	-0.008	-999	-999	-28.41	-28.84	-22.85	-17.72	-14.8	-12.555	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-22.22	170.4	16.67	7.34E+05	2.588	0.008	0	0	0.418	1.418	2.418	3.418	4.418	7.418
2009	4	5	14	95	3383	799.03	-21.09	-21.97	55.9	68.7	4.91	131.9	642.8	547.9	470.4	436	0.729	148.1	224.6	0.03	-22.26	0.001	-0.008	-999	-999	-28.54	-28.98	-22.85	-17.72	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-19.87	166.9	16.43	7.34E+05	2.59	0.008	0	0	0.418	1.418	2.418	3.418	4.418	7.418
2009	4	5	15	95	3383	798.93	-19.71	-20.47	52.8	64	4.12	129.7	637.6	535.6	485.7	425	0.744	150.7	229.7	0	-20.87	0.001	-0.0085	-999	-999	-28.73	-29.115	-22.855	-17.715	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-17.63	166.7	16.39	7.34E+05	2.59	0.0085	0	0	0.4185	1.4185	2.4185	3.4185	4.4185	7.4185
2009	4	5	16	95	3383	799.06	-19.01	-19.63	51.8	62.4	3.7	136.2	580.1	523.4	462.5	413.9	0.763	150.5	231.2	0	-20.44	0	-0.009	-999	-999	-28.92	-29.25	-22.86	-17.71	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-16.15	165.5	16.32	7.34E+05	3.074	0.009	0	0	0.419	1.419	2.419	3.419	4.419	7.419
2009	4	5	17	95	3383	799.11	-18.65	-19.13	49.7	59.6	3.03	146.3	494.7	508.8	414.3	401.4	0.782	149.9	230	0	-20.78	0	-0.0095	-999	-999	-28.925	-29.33	-22.87	-17.71	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-15.26	164.8	16.13	7.34E+05	3.073	0.0095	0	0	0.4195	1.4195	2.4195	3.4195	4.4195	7.4195
2009	4	5	18	95	3383	799.25	-19.14	-19.71	50.8	61.2	2.85	137.6	388.5	435.5	346.2	346.2	0.795	149	225.6	0	-22	0	-0.01	-999	-999	-28.93	-29.41	-22.88	-17.71	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-15.08	159.4	15.74	7.34E+05	2.589	0.01	0	0	0.42	1.42	2.42	3.42	4.42	7.42
2009	4	5	19	95	3383	799.53	-20.12	-20.87	52.1	63.4	3.21	140.5	267.9	331.3	263	263	-999	146.8	219.6	0	-23.67	0	-0.01	-999	-999	-29.1	-29.525	-22.89	-17.705	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-16.18	150.1	15.04	7.34E+05	3.074	0.01	0	0	0.42	1.42	2.42	3.42	4.42	7.42
2009	4	5	20	95	3383	799.9	-21.41	-22.26	53.2	65.5	3.14	138	147	211.2	167.4	167.4	-999	145.4	211.9	0.01	-25.9	0	-0.01	-999	-999	-28.93	-29.41	-22.9	-17.7	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-17.97	140.9	14.36	7.34E+05	2.589	0.01	0	0	0.42	1.42	2.42	3.42	4.42	7.42
2009	4	5	21	95	3383	800.27	-23.4	-24.39	56.8	71.3	3.42	133.8	48.8	92.2	72.3	73	-999	144.9	204.4	0.09	-28.13	0.001	-0.011	-999	-999	-28.925	-29.33	-22.92	-17.7	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-20.4	135.9	13.95	7.34E+05	2.59	0.011	0	0	0.421	1.421	2.421	3.421	4.421	7.421
2009	4	5	22	95	3383	800.5	-25.41	-26.54	59.5	76.3	4.05	124.1	5.2	14	9.9	11.1	-999	145.4	198.9	0.2	-29.79	0	-0.012	-999	-999	-28.92	-29.25	-22.94	-17.7	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-23.55	134.1	13.71	7.34E+05	2.589	0.012	0	0	0.422	1.422	2.422	3.422	4.422	7.422
2009	4	5	23	95	3383	800.69	-26.54	-27.77	60.5	78.4	4.57	128.1	-1.2	0	0.5	0	-999	145	196.2	0.25	-30.6	-0.001	-0.0125	-999	-999	-28.73	-29.115	-22.96	-17.695	-14.8	-12.55	-11.21	-9.21	2.63	0.69	40	6700	4701	1830.6	1.57	-26.37	130.4	13.54	7.34E+05	2.588	0.0125	0	0	0.4225	1.4225	2.4225	3.4225	4.4225	7.4225
2009	4	6	0	96	3384	800.82	-27.29	-28.52	60	78.2	5.4	126.1	-1.1	0	0.6	0	-999	144.6	195.2	0.28	-30.92	-0.001	-0.013	-999	-999	-28.28	-28.7	-22.98	-17.69	-14.8	-12.55	-11.21	-9.21	2.62	0.68	25	6700	4701	1839	2	-27.55	132.2	13.36	7.34E+05	2.588	0.013	0	0	0.423	1.423	2.423	3.423	4.423	7.423
2009	4	6	1	96	3384	800.49	-27.51	-28.73	60	78.5	5.4	128.9	-1.1	0	0.5	0	-999	144.2	194.2	0.29	-31.23	-0.002	-0.0145	-999	-999	-28.54	-28.98	-23.005	-17.69	-14.8	-12.55	-11.21	-9.21	2.63	0.68	25	6700	4701	1839	2	-28.16	130.8	13.29	7.34E+05	2.587	0.0145	0	0	0.4245	1.4245	2.4245	3.4245	4.4245	7.4245
2009	4	6	2	96	3384	800.42	-27.88	-29.18	60	78.7	6.02	127.7	-0.8	0	0.7	0	-999	143.8	193.5	0.3	-31.47	-0.002	-0.016	-999	-999	-28.28	-28.7	-23.03	-17.69	-14.8	-12.55	-11.21	-9.21	2.63	0.68	25	6700	4701	1839	2	-28.65	132.1	13.22	7.34E+05	2.587	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	3	96	3384	800.26	-28.31	-29.47	59.4	78.2	6	130.2	-1.2	0	0.2	0	-999	143.8	192.8	0.32	-31.67	-0.002	-0.016	-999	-999	-28.045	-28.51	-23.055	-17.685	-14.8	-12.55	-11.21	-9.21	2.64	0.68	25	6700	4701	1839	2	-28.75	129.8	13.18	7.34E+05	2.587	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	4	96	3384	800.21	-28.32	-29.56	59.9	78.9	5.93	128.5	-0.9	0	0.6	0	-999	143.4	192.4	0.32	-31.79	-0.002	-0.016	-999	-999	-27.81	-28.32	-23.08	-17.68	-14.8	-12.55	-11.21	-9.21	2.64	0.68	25	6700	4701	1839	2	-29	129.1	13.13	7.34E+05	2.587	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	5	96	3384	800.03	-28.54	-29.79	60.8	80.2	6.03	130.4	-1.1	0	0.5	0	-999	142.6	191.7	0.32	-32	-0.002	-0.016	-999	-999	-26.69	-27.38	-23.1	-17.68	-14.8	-12.55	-11.21	-9.21	2.65	0.67	25	6700	4701	1839	2	-29.17	129.2	13.1	7.34E+05	2.587	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	6	96	3384	799.92	-28.63	-29.87	61.5	81.3	6.43	128.5	-1.1	0	0.4	0	-999	142.5	191.6	0.32	-32.05	-0.002	-0.016	-999	-999	-25.57	-26.44	-23.12	-17.69	-14.8	-12.55	-11.21	-9.21	2.65	0.67	25	6700	4701	1839	2	-29.3	130.7	13.06	7.34E+05	2.587	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	7	96	3384	799.77	-28.55	-29.8	60.3	79.6	6.32	130.8	1.1	1.8	1.8	1.4	-999	148.1	192.2	0.4	-31.87	0	-0.016	-999	-999	-24.375	-25.33	-23.135	-17.675	-14.8	-12.55	-11.21	-9.205	2.66	0.67	25	6700	4701	1839	2	-29.34	130.6	13.04	7.34E+05	2.586	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	8	96	3384	799.6	-27.86	-29.15	58.3	76.5	6.6	130.8	51.9	43	32.5	33.5	-999	149.2	193.7	0.38	-31.39	0	-0.016	-999	-999	-23.18	-24.22	-23.15	-17.68	-14.8	-12.55	-11.21	-9.2	2.66	0.67	25	6700	4701	1839	2	-28.81	127.1	13.04	7.34E+05	2.586	0.016	0	0	0.426	1.426	2.426	3.426	4.426	7.426
2009	4	6	9	96	3384	799.29	-27.48	-28.72	55.6	72.7	6.75	131.6	165.1	143.2	111.3	111.3	-999	149.4	195.4	0.36	-30.85	-0.001	-0.017	-999	-999	-22.16	-23.775	-23.15	-17.665	-14.8	-12.55	-11.21	-9.2	2.66	0.66	25	6700	4701	1839	2	-27.44	132.5	13.17	7.34E+05	2.588	0.017	0	0	0.427	1.427	2.427	3.427	4.427	7.427
