depth_m;lwc_kg
31.6;1.50601232980092
31.7;0
31.8;0
31.9;2.8158833000169
32;3.11430493880431
32.1;1.34089436794833
32.2;0.211374177755652
32.3;0.13013625253717
32.4;0
32.5;0.0823637561394465
32.6;0.506957613096356
32.7;0.506957613096429
32.8;1.726451553919
32.9;1.81925497876048
33;2.44033463561048
33.1;2.75145360479355
33.2;1.80007901761351
33.3;0.257902718011501
33.4;0.334795947249622
33.5;0.757454772355647
33.6;0.757454772355593
33.7;0.0643052829321869
33.8;0
33.9;0.779573573351492
34;1.1245397269561
34.1;1.29807374077994
34.2;1.51353653131099
34.3;2.45606692182433
34.4;6.47158759762353
34.5;6.47158759762353
34.6;3.62119166268979
34.7;2.97211879382411
34.8;2.26029190955971
34.9;1.61524719207513
35;1.61504818337505
35.1;1.614499801748
35.2;1.61450450322125
35.3;1.61509109558549
35.4;1.6150910955856
35.5;2.74970568538997
35.6;3.12868286086039
35.7;2.61011898852692
35.8;1.99148978332192
35.9;1.92222084214346
36;1.62498332796812
36.1;1.62498332796801
36.2;1.6304603059759
36.3;1.63086978580899
36.4;1.53697675977246
36.5;1.49109413594931
36.6;1.32476755844959
36.7;1.09151007119689
36.8;1.06275062304324
36.9;0.92220556559283
37;0.92220556559283
37.1;0.0670212101376092
37.2;0
37.3;0
37.4;0
37.5;0
37.6;0
37.7;0
37.8;0
37.9;0
38;0
38.1;0
38.2;0
38.3;0
38.4;0
38.5;0
38.6;0
38.7;0
38.8;0
38.9;0
39;0
39.1;0
39.2;0
39.3;0
39.4;0
39.5;0
39.6;0
39.7;0
39.8;0
39.9;0
40;0
40.1;0
40.2;0
40.3;0
40.4;0
40.5;0
40.6;0
40.7;0
40.8;0
40.9;0
41;0
41.1;0
41.2;0
41.3;0
41.4;0
41.5;0
41.6;0
41.7;0
41.8;0
41.9;0
42;0
42.1;0
42.2;0
42.3;0
42.4;0
42.5;0
42.6;0
42.7;0
42.8;0
42.9;0
43;0
43.1;0
43.2;0
43.3;0
43.4;0
43.5;0
43.6;0
43.7;0
43.8;0
43.9;0
44;0
44.1;0
44.2;0
44.3;0
44.4;0
44.5;0
44.6;0
44.7;0
44.8;0
44.9;0
45;0
45.1;0
45.2;0
45.3;0
45.4;0
45.5;0
45.6;0
45.7;0
45.8;0
45.9;0
46;0
46.1;0
46.2;0
46.3;0
46.4;0
46.5;0
46.6;0
46.7;0
46.8;0
46.9;0
47;0
47.1;0
47.2;0
47.3;0
47.4;0
47.5;0
47.6;0
47.7;0
47.8;0
47.9;0
48;0
48.1;0
48.2;0
48.3;0
48.4;0
48.5;0
48.6;0
48.7;0
48.8;0
48.9;0
49;0
49.1;0
49.2;0
49.3;0
49.4;0
49.5;0
49.6;0
49.7;0
49.8;0
49.9;0
50;0
50.1;0
50.2;0
50.3;0
50.4;0
50.5;0
50.6;0
50.7;0
50.8;0
50.9;0
51;0
51.1;0
51.2;0
51.3;0
51.4;0
51.5;0
51.6;0
51.7;0
51.8;0
51.9;0
52;0
52.1;0
52.2;0
52.3;0
52.4;0
52.5;0
52.6;0
52.7;0
52.8;0
52.9;0
53;0
53.1;0
53.2;0
53.3;0
53.4;0
53.5;0
53.6;0
53.7;0
53.8;0
53.9;0
54;0
54.1;0
54.2;0
54.3;0
54.4;0
54.5;0
54.6;0
54.7;0
54.8;0
54.9;0
55;0
55.1;0
55.2;0
55.3;0
55.4;0
55.5;0
55.6;0
55.7;0
55.8;0
55.9;0
56;0
56.1;0
56.2;0
56.3;0
56.4;0
56.5;0
56.6;0
56.7;0
56.8;0
56.9;0
57;0
57.1;0
57.2;0
57.3;0
57.4;0
57.5;0
57.6;0
57.7;0
57.8;0
57.9;0
58;0
58.1;0
58.2;0
58.3;0
58.4;0
58.5;0
58.6;0
58.7;0
58.8;0
58.9;0
59;0
59.1;0
59.2;0
59.3;0
59.4;0
59.5;0
59.6;0
59.7;0
59.8;0
59.9;0
60;0
