depth_cm;density_kgm-1
13.19;538.76
13.2;538.76
13.21;538.76
13.22;538.76
13.23;538.76
13.24;538.76
13.25;538.76
13.26;538.76
13.27;538.76
13.28;538.76
13.29;538.76
13.3;538.76
13.31;538.76
13.32;538.76
13.33;538.76
13.34;538.76
13.35;538.76
13.36;538.76
13.37;538.76
13.38;538.76
13.39;538.76
13.4;538.76
13.41;538.76
13.42;538.76
13.43;538.76
13.44;538.76
13.45;538.76
13.46;538.76
13.47;538.76
13.48;850
13.49;850
13.5;850
13.51;850
13.52;850
13.53;538.76
13.54;538.76
13.55;538.76
13.56;538.76
13.57;538.76
13.58;538.76
13.59;538.76
13.6;538.76
13.61;538.76
13.62;538.76
13.63;850
13.64;850
13.65;850
13.66;555.24
13.67;555.24
13.68;555.24
13.69;555.24
13.7;555.24
13.71;555.24
13.72;555.24
13.73;555.24
13.74;555.24
13.75;555.24
13.76;555.24
13.77;555.24
13.78;555.24
13.79;850
13.8;850
13.81;555.24
13.82;555.24
13.83;555.24
13.84;555.24
13.85;555.24
13.86;555.24
13.87;555.24
13.88;555.24
13.89;555.24
13.9;555.24
13.91;555.24
13.92;555.24
13.93;555.24
13.94;555.24
13.95;555.24
13.96;555.24
13.97;555.24
13.98;555.24
13.99;555.24
14;555.24
14.01;555.24
14.02;555.24
14.03;555.24
14.04;555.24
14.05;555.24
14.06;555.24
14.07;555.24
14.08;555.24
14.09;555.24
14.1;555.24
14.11;555.24
14.12;555.24
14.13;555.24
14.14;555.24
14.15;555.24
14.16;555.24
14.17;555.24
14.18;555.24
14.19;555.24
14.2;555.24
14.21;555.24
14.22;555.24
14.23;555.24
14.24;555.24
14.25;555.24
14.26;555.24
14.27;555.24
14.28;555.24
14.29;589.07
14.3;589.07
14.31;589.07
14.32;589.07
14.33;589.07
14.34;589.07
14.35;589.07
14.36;589.07
14.37;589.07
14.38;589.07
14.39;589.07
14.4;589.07
14.41;589.07
14.42;589.07
14.43;589.07
14.44;589.07
14.45;589.07
14.46;589.07
14.47;589.07
14.48;589.07
14.49;589.07
14.5;589.07
14.51;589.07
14.52;589.07
14.53;589.07
14.54;589.07
14.55;589.07
14.56;589.07
14.57;589.07
14.58;589.07
14.59;589.07
14.6;589.07
14.61;589.07
14.62;589.07
14.63;589.07
14.64;589.07
14.65;589.07
14.66;589.07
14.67;589.07
14.68;589.07
14.69;589.07
14.7;570.3
14.71;570.3
14.72;570.3
14.73;570.3
14.74;570.3
14.75;570.3
14.76;570.3
14.77;570.3
14.78;570.3
14.79;570.3
14.8;570.3
14.81;570.3
14.82;570.3
14.83;570.3
14.84;570.3
14.85;570.3
14.86;570.3
14.87;570.3
14.88;570.3
14.89;570.3
14.9;850
14.91;850
14.92;570.3
14.93;570.3
14.94;570.3
14.95;570.3
14.96;570.3
14.97;570.3
14.98;570.3
14.99;570.3
15;570.3
15.01;570.3
15.02;570.3
15.03;570.3
15.04;570.3
15.05;570.3
15.06;570.3
15.07;570.3
15.08;570.3
15.09;570.3
15.1;570.3
15.11;570.3
15.12;570.3
15.13;570.3
15.14;570.3
15.15;570.3
15.16;570.3
15.17;570.3
15.18;570.3
15.19;570.3
15.2;570.3
15.21;570.3
15.22;570.3
15.23;570.3
15.24;570.3
15.25;570.3
15.26;570.3
15.27;570.3
15.28;570.3
15.29;570.3
15.3;570.3
15.31;570.3
15.32;570.3
15.33;570.3
15.34;570.3
15.35;570.3
15.36;570.3
15.37;570.3
15.38;570.3
15.39;570.3
15.4;570.3
15.41;570.3
15.42;570.3
15.43;570.3
15.44;554.27
15.45;554.27
15.46;554.27
15.47;554.27
15.48;554.27
15.49;554.27
15.5;554.27
15.51;554.27
15.52;554.27
15.53;554.27
15.54;554.27
15.55;554.27
15.56;554.27
15.57;554.27
15.58;554.27
15.59;554.27
15.6;554.27
15.61;554.27
15.62;554.27
15.63;554.27
15.64;554.27
15.65;554.27
15.66;554.27
15.67;554.27
15.68;554.27
15.69;554.27
15.7;554.27
15.71;554.27
15.72;554.27
15.73;554.27
15.74;554.27
15.75;554.27
15.76;554.27
15.77;554.27
15.78;554.27
15.79;554.27
15.8;554.27
15.81;554.27
15.82;554.27
15.83;554.27
15.84;554.27
15.85;850
15.86;850
15.87;850
15.88;850
15.89;554.27
15.9;554.27
15.91;554.27
15.92;554.27
15.93;554.27
15.94;554.27
15.95;554.27
15.96;554.27
15.97;850
15.98;850
15.99;850
16;850
16.01;850
16.02;850
16.03;850
16.04;850
16.05;554.27
16.06;554.27
16.07;554.27
16.08;554.27
16.09;554.27
16.1;554.27
16.11;554.27
16.12;554.27
16.13;554.27
16.14;554.27
16.15;554.27
16.16;554.27
16.17;554.27
16.18;554.27
16.19;554.27
16.2;554.27
16.21;554.27
16.22;554.27
16.23;554.27
16.24;554.27
16.25;554.27
16.26;554.27
16.27;554.27
16.28;554.27
16.29;554.27
16.3;554.27
16.31;554.27
16.32;554.27
16.33;554.27
16.34;554.27
16.35;554.27
16.36;554.27
16.37;554.27
16.38;554.27
16.39;605.82
16.4;605.82
16.41;605.82
16.42;605.82
16.43;605.82
16.44;605.82
16.45;605.82
16.46;605.82
16.47;605.82
16.48;605.82
16.49;605.82
16.5;605.82
16.51;605.82
16.52;605.82
16.53;605.82
16.54;605.82
16.55;605.82
16.56;605.82
16.57;605.82
16.58;605.82
16.59;605.82
16.6;605.82
16.61;605.82
16.62;605.82
16.63;605.82
16.64;605.82
16.65;605.82
16.66;605.82
16.67;605.82
16.68;605.82
16.69;605.82
16.7;605.82
16.71;605.82
16.72;605.82
16.73;605.82
16.74;605.82
16.75;605.82
16.76;605.82
16.77;605.82
16.78;605.82
16.79;605.82
16.8;605.82
16.81;605.82
16.82;605.82
16.83;605.82
16.84;605.82
16.85;605.82
16.86;605.82
16.87;605.82
16.88;605.82
16.89;605.82
16.9;605.82
16.91;605.82
16.92;605.82
16.93;590.18
16.94;590.18
16.95;590.18
16.96;590.18
16.97;590.18
16.98;590.18
16.99;590.18
17;590.18
17.01;590.18
17.02;590.18
17.03;590.18
17.04;590.18
17.05;590.18
17.06;590.18
17.07;590.18
17.08;590.18
17.09;590.18
17.1;590.18
17.11;590.18
17.12;590.18
17.13;590.18
17.14;590.18
17.15;590.18
17.16;590.18
17.17;590.18
17.18;590.18
17.19;590.18
17.2;590.18
17.21;590.18
17.22;590.18
17.23;590.18
17.24;590.18
17.25;590.18
17.26;590.18
17.27;590.18
