depth_m;dens;dd
6.75;850;100
6.76;850;100
6.77;850;100
6.78;850;100
6.79;850;100
6.8;850;100
6.81;394.99;0
6.82;394.99;0
6.83;394.99;0
6.84;394.99;0
6.85;394.99;0
6.86;394.99;0
6.87;394.99;0
6.88;850;100
6.89;850;100
6.9;850;100
6.91;850;100
6.92;850;100
6.93;850;100
6.94;850;100
6.95;850;100
6.96;394.99;0
6.97;394.99;0
6.98;394.99;0
6.99;394.99;0
7;394.99;0
7.01;394.99;0
7.02;394.99;0
7.03;394.99;0
7.04;394.99;0
7.05;394.99;0
7.06;374.24;0
7.07;374.24;0
7.08;374.24;0
7.09;374.24;0
7.1;374.24;0
7.11;850;100
7.12;850;100
7.13;850;100
7.14;850;100
7.15;850;100
7.16;850;100
7.17;850;100
7.18;850;100
7.19;850;100
7.2;850;100
7.21;850;100
7.22;850;100
7.23;850;100
7.24;850;100
7.25;850;100
7.26;374.24;0
7.27;374.24;0
7.28;374.24;0
7.29;374.24;0
7.3;374.24;0
7.31;374.24;0
7.32;374.24;0
7.33;374.24;0
7.34;374.24;0
7.35;850;100
7.36;850;100
7.37;374.24;0
7.38;374.24;0
7.39;374.24;0
7.4;374.24;0
7.41;374.24;0
7.42;374.24;0
7.43;374.24;0
7.44;374.24;0
7.45;374.24;0
7.46;374.24;0
7.47;374.24;0
7.48;374.24;0
7.49;850;100
7.5;850;100
7.51;374.24;0
7.52;374.24;0
7.53;374.24;0
7.54;374.24;0
7.55;374.24;0
7.56;374.24;0
7.57;374.24;0
7.58;374.24;0
7.59;374.24;0
7.6;850;100
7.61;850;100
7.62;850;100
7.63;850;100
7.64;374.24;0
7.65;374.24;0
7.66;374.24;0
7.67;374.24;0
7.68;374.24;0
7.69;374.24;0
7.7;374.24;0
7.71;374.24;0
7.72;374.24;0
7.73;374.24;0
7.74;374.24;0
7.75;374.24;0
7.76;374.24;0
7.77;850;100
7.78;850;100
7.79;850;100
7.8;850;100
7.81;850;100
7.82;850;100
7.83;374.24;0
7.84;374.24;0
7.85;374.24;0
7.86;374.24;0
7.87;374.24;0
7.88;374.24;0
7.89;374.24;0
7.9;466.41;0
7.91;466.41;0
7.92;466.41;0
7.93;466.41;0
7.94;466.41;0
7.95;466.41;0
7.96;466.41;0
7.97;466.41;0
7.98;466.41;0
7.99;466.41;0
8;850;100
8.01;850;100
8.02;466.41;0
8.03;466.41;0
8.04;466.41;0
8.05;466.41;0
8.06;466.41;0
8.07;466.41;0
8.08;466.41;0
8.09;466.41;0
8.1;466.41;0
8.11;466.41;0
8.12;466.41;0
8.13;466.41;0
8.14;466.41;0
8.15;466.41;0
8.16;466.41;0
8.17;466.41;0
8.18;466.41;0
8.19;466.41;0
8.2;466.41;0
